"Feature","Gain","Cover","Frequency","Importance"
"mrisdp_496",0.00537263490562105,0.0101961702189909,0.00675675675675676,0.00537263490562105
"mrisdp_527",0.00501829846564151,0.000727775420939452,0.00675675675675676,0.00501829846564151
"mrisdp_463",0.00439857620795411,0.000789947190567445,0.00675675675675676,0.00439857620795411
"mrisdp_532",0.00435246628299306,4.75431179508185e-05,0.00675675675675676,0.00435246628299306
"mrisdp_477",0.00426805453638552,0.000208458286399743,0.00675675675675676,0.00426805453638552
"smri_vol_scs_inflatventlh",0.00415057497994932,0.00012800070217528,0.00675675675675676,0.00415057497994932
"mrisdp_593",0.00387694727540941,9.5086235901637e-05,0.00675675675675676,0.00387694727540941
"smri_vol_scs_csf",0.00385600710423066,5.85146067086997e-05,0.00675675675675676,0.00385600710423066
"mrisdp_582",0.00221594070010339,4.75431179508185e-05,0.00675675675675676,0.00221594070010339
"mrisdp_510",0.000767569495533322,3.65716291929373e-05,0.00675675675675676,0.000767569495533322
