"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
100,3,1,0.01,0,0.9,0.6,1.09616434344601
150,3,1,0.01,0,0.9,0.6,1.09639449298279
50,5,1,0.01,0,0.9,0.6,1.09347799810819
100,5,1,0.01,0,0.9,0.6,1.09826531243087
150,5,1,0.01,0,0.9,0.6,1.09815377511856
50,7,1,0.01,0,0.9,0.6,1.09826225437991
100,7,1,0.01,0,0.9,0.6,1.098761659738
150,7,1,0.01,0,0.9,0.6,1.09743068034181
50,9,1,0.01,0,0.9,0.6,1.09506258766488
100,9,1,0.01,0,0.9,0.6,1.09819343097979
150,9,1,0.01,0,0.9,0.6,1.09774099387209
50,3,5,0.01,0,0.9,0.6,1.09815901025467
100,3,5,0.01,0,0.9,0.6,1.09459971506446
150,3,5,0.01,0,0.9,0.6,1.09512020499577
50,5,5,0.01,0,0.9,0.6,1.098305705989
100,5,5,0.01,0,0.9,0.6,1.09725123646994
150,5,5,0.01,0,0.9,0.6,1.09348558249452
50,7,5,0.01,0,0.9,0.6,1.09770274042394
100,7,5,0.01,0,0.9,0.6,1.09388155233147
150,7,5,0.01,0,0.9,0.6,1.09669152385876
50,9,5,0.01,0,0.9,0.6,1.09758589333881
100,9,5,0.01,0,0.9,0.6,1.09786591720618
150,9,5,0.01,0,0.9,0.6,1.09844904298616
50,3,1,0.05,0,0.9,0.6,1.08382359217366
100,3,1,0.05,0,0.9,0.6,1.09266339093103
150,3,1,0.05,0,0.9,0.6,1.08681049445215
50,5,1,0.05,0,0.9,0.6,1.09994258603646
100,5,1,0.05,0,0.9,0.6,1.1011821332876
150,5,1,0.05,0,0.9,0.6,1.08954167465013
50,7,1,0.05,0,0.9,0.6,1.09627803756935
100,7,1,0.05,0,0.9,0.6,1.0947240337767
150,7,1,0.05,0,0.9,0.6,1.09992486728183
50,9,1,0.05,0,0.9,0.6,1.09472382146661
100,9,1,0.05,0,0.9,0.6,1.09693727645724
150,9,1,0.05,0,0.9,0.6,1.09611410834692
50,3,5,0.05,0,0.9,0.6,1.09496760304183
100,3,5,0.05,0,0.9,0.6,1.08790017625688
150,3,5,0.05,0,0.9,0.6,1.0981133264564
50,5,5,0.05,0,0.9,0.6,1.09581691180195
100,5,5,0.05,0,0.9,0.6,1.09820005064024
150,5,5,0.05,0,0.9,0.6,1.0964033574766
50,7,5,0.05,0,0.9,0.6,1.09247046233755
100,7,5,0.05,0,0.9,0.6,1.09994285785661
150,7,5,0.05,0,0.9,0.6,1.09962432135817
50,9,5,0.05,0,0.9,0.6,1.09893814646374
100,9,5,0.05,0,0.9,0.6,1.09589178967203
150,9,5,0.05,0,0.9,0.6,1.09406416512942
50,3,1,0.1,0,0.9,0.6,1.10273905966857
100,3,1,0.1,0,0.9,0.6,1.09010341228461
150,3,1,0.1,0,0.9,0.6,1.09582982105924
50,5,1,0.1,0,0.9,0.6,1.10288095709977
100,5,1,0.1,0,0.9,0.6,1.09156217493807
150,5,1,0.1,0,0.9,0.6,1.09591610178261
50,7,1,0.1,0,0.9,0.6,1.09538091129776
100,7,1,0.1,0,0.9,0.6,1.09973716688517
150,7,1,0.1,0,0.9,0.6,1.09668374408917
50,9,1,0.1,0,0.9,0.6,1.09625858642846
100,9,1,0.1,0,0.9,0.6,1.10301051517073
150,9,1,0.1,0,0.9,0.6,1.09673699535765
50,3,5,0.1,0,0.9,0.6,1.08869156573321
100,3,5,0.1,0,0.9,0.6,1.10223689176386
150,3,5,0.1,0,0.9,0.6,1.0942494485997
50,5,5,0.1,0,0.9,0.6,1.10691508470533
100,5,5,0.1,0,0.9,0.6,1.10062422078449
150,5,5,0.1,0,0.9,0.6,1.10002769007247
50,7,5,0.1,0,0.9,0.6,1.09848469972868
100,7,5,0.1,0,0.9,0.6,1.1041153488568
150,7,5,0.1,0,0.9,0.6,1.09484179333197
50,9,5,0.1,0,0.9,0.6,1.09995081117038
100,9,5,0.1,0,0.9,0.6,1.09691727311048
150,9,5,0.1,0,0.9,0.6,1.09310983814127
50,3,1,0.01,0.5,0.9,0.6,1.09726648437285
100,3,1,0.01,0.5,0.9,0.6,1.09235800342649
150,3,1,0.01,0.5,0.9,0.6,1.09771779486506
50,5,1,0.01,0.5,0.9,0.6,1.09656192498901
100,5,1,0.01,0.5,0.9,0.6,1.09783444050529
150,5,1,0.01,0.5,0.9,0.6,1.09393933678648
50,7,1,0.01,0.5,0.9,0.6,1.09821825175187
100,7,1,0.01,0.5,0.9,0.6,1.09800360450372
150,7,1,0.01,0.5,0.9,0.6,1.09740788270602
50,9,1,0.01,0.5,0.9,0.6,1.09791941592902
100,9,1,0.01,0.5,0.9,0.6,1.09704385235196
150,9,1,0.01,0.5,0.9,0.6,1.09819219517568
50,3,5,0.01,0.5,0.9,0.6,1.09219879751435
100,3,5,0.01,0.5,0.9,0.6,1.08925697817801
150,3,5,0.01,0.5,0.9,0.6,1.09563741789776
50,5,5,0.01,0.5,0.9,0.6,1.09418421434604
100,5,5,0.01,0.5,0.9,0.6,1.09417197553908
150,5,5,0.01,0.5,0.9,0.6,1.09833925072474
50,7,5,0.01,0.5,0.9,0.6,1.0965520107531
100,7,5,0.01,0.5,0.9,0.6,1.09618507170467
150,7,5,0.01,0.5,0.9,0.6,1.09727874077321
50,9,5,0.01,0.5,0.9,0.6,1.09780621083729
100,9,5,0.01,0.5,0.9,0.6,1.09653188546223
150,9,5,0.01,0.5,0.9,0.6,1.09687134853831
50,3,1,0.05,0.5,0.9,0.6,1.09841569264572
100,3,1,0.05,0.5,0.9,0.6,1.09511367043787
150,3,1,0.05,0.5,0.9,0.6,1.10093811770984
