"nrounds","max_depth","min_child_weight","eta","gamma","subsample","colsample_bytree","mlogloss"
100,9,1,0.1,2,0.6,0.6,1.10245118743031
150,9,1,0.1,2,0.6,0.6,1.10350917580377
50,3,5,0.1,2,0.6,0.6,1.09974133533704
100,3,5,0.1,2,0.6,0.6,1.09632736237555
150,3,5,0.1,2,0.6,0.6,1.10012572194993
50,5,5,0.1,2,0.6,0.6,1.10280660673571
100,5,5,0.1,2,0.6,0.6,1.0995252624807
150,5,5,0.1,2,0.6,0.6,1.09786495735406
50,7,5,0.1,2,0.6,0.6,1.09997862468745
100,7,5,0.1,2,0.6,0.6,1.09609811096145
150,7,5,0.1,2,0.6,0.6,1.10380117247318
50,9,5,0.1,2,0.6,0.6,1.09957282837792
100,9,5,0.1,2,0.6,0.6,1.10838660524502
150,9,5,0.1,2,0.6,0.6,1.09870731923118
50,3,1,0.01,0,0.9,0.6,1.09872127487882
100,3,1,0.01,0,0.9,0.6,1.09645883094858
150,3,1,0.01,0,0.9,0.6,1.09757687634237
50,5,1,0.01,0,0.9,0.6,1.09820395447675
100,5,1,0.01,0,0.9,0.6,1.09859036002891
150,5,1,0.01,0,0.9,0.6,1.09776979457665
50,7,1,0.01,0,0.9,0.6,1.09674586740899
100,7,1,0.01,0,0.9,0.6,1.09812735962259
150,7,1,0.01,0,0.9,0.6,1.09874401722657
50,9,1,0.01,0,0.9,0.6,1.09886907200297
100,9,1,0.01,0,0.9,0.6,1.09830282997383
150,9,1,0.01,0,0.9,0.6,1.09741592511717
50,3,5,0.01,0,0.9,0.6,1.09845517350286
100,3,5,0.01,0,0.9,0.6,1.09772996972114
150,3,5,0.01,0,0.9,0.6,1.09789016685758
50,5,5,0.01,0,0.9,0.6,1.09810436561459
100,5,5,0.01,0,0.9,0.6,1.09825794771841
150,5,5,0.01,0,0.9,0.6,1.09854576841268
50,7,5,0.01,0,0.9,0.6,1.0988969533173
100,7,5,0.01,0,0.9,0.6,1.09618033205805
150,7,5,0.01,0,0.9,0.6,1.09830957623004
50,9,5,0.01,0,0.9,0.6,1.09799779884236
100,9,5,0.01,0,0.9,0.6,1.09781754466037
150,9,5,0.01,0,0.9,0.6,1.09856439907337
50,3,1,0.05,0,0.9,0.6,1.09736168163105
100,3,1,0.05,0,0.9,0.6,1.09853921920839
150,3,1,0.05,0,0.9,0.6,1.09942195331208
50,5,1,0.05,0,0.9,0.6,1.09766599483245
100,5,1,0.05,0,0.9,0.6,1.09670164691941
150,5,1,0.05,0,0.9,0.6,1.09780441734681
50,7,1,0.05,0,0.9,0.6,1.09744011805256
100,7,1,0.05,0,0.9,0.6,1.10126001336698
150,7,1,0.05,0,0.9,0.6,1.09614352860426
50,9,1,0.05,0,0.9,0.6,1.09722641911755
100,9,1,0.05,0,0.9,0.6,1.09997339787919
150,9,1,0.05,0,0.9,0.6,1.1003339490984
50,3,5,0.05,0,0.9,0.6,1.09603005642754
100,3,5,0.05,0,0.9,0.6,1.09747653416064
150,3,5,0.05,0,0.9,0.6,1.09801249571229
50,5,5,0.05,0,0.9,0.6,1.09838264002843
100,5,5,0.05,0,0.9,0.6,1.09914303769273
150,5,5,0.05,0,0.9,0.6,1.09702745823924
50,7,5,0.05,0,0.9,0.6,1.09696759242816
100,7,5,0.05,0,0.9,0.6,1.09869024153968
150,7,5,0.05,0,0.9,0.6,1.09829734141352
50,9,5,0.05,0,0.9,0.6,1.09718563403683
100,9,5,0.05,0,0.9,0.6,1.098549910132
150,9,5,0.05,0,0.9,0.6,1.09915596115642
50,3,1,0.1,0,0.9,0.6,1.09727578378258
100,3,1,0.1,0,0.9,0.6,1.0972227410612
150,3,1,0.1,0,0.9,0.6,1.10153742764251
50,5,1,0.1,0,0.9,0.6,1.10202423658869
100,5,1,0.1,0,0.9,0.6,1.10351625623428
150,5,1,0.1,0,0.9,0.6,1.09648168990077
50,7,1,0.1,0,0.9,0.6,1.10019352824038
100,7,1,0.1,0,0.9,0.6,1.09915289164138
